"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"native_center_precipSeas"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_precipSeas"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Eragrostis cilianensis"	"Palearctic_West"	744	105	NA	0.00283	0.99717	0.81124	13.64107	3	3446	0.039	0	3	0.003	121.093	8.877	788	10.649	-0.59451148284749	-0.288139312617489	0.375824570267226	-1.17253254514287	0.251028402028709	-0.754050955500567	346	46	503	34	"M2A"	0.996827591624223	0	0.549923277461629	0.549923277461629	0.531637540269528	0.568209014653731	0.572780448951756	NA	NA	NA	NA	NA	0	0	0	NA	0.00904197552091657	0.189	NA	157.848	0	NA
"Eragrostis cilianensis"	"Panamanian"	710	37	NA	0.00561	0.99439	0.75161	104.24549	5	3415	0.584	0.004	5	0.006	117.102	1.123	633	2.416	-0.673158394055095	-0.415207014651088	-1.72814555665159	-0.36221752476467	-1.6045145896072	-0.960306155313795	277	95	855	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eragrostis curvula"	"Australian"	889	411	NA	0.0607	0.9393	0.06567	47.06039	94	3887	2.856	0.074	94	0.225	2.537	0.054	140	0.376	-0.548304865365303	-0.140574244895887	-0.441355129568373	-0.752597649975624	-0.892611965804769	0.0107266846078662	342	21	501	41	"M2A"	0.898486830442137	0	1.92312522856859	1.96131511236337	1.61725207562222	2.22311933417984	2.38460751212519	NA	NA	NA	NA	NA	0.00144860827397986	0.02464299963266	0.690822489596312	NA	0.171863997824818	4.812	NA	5.231	0	NA
"Eragrostis curvula"	"Nearctic"	908	190	NA	0.06431	0.93569	0.02213	81.46639	92	3881	5.239	0.134	92	0.217	0.868	0.011	106	0.259	-0.539490428764487	-0.140464685856058	-0.623854183559788	-0.0283915851462325	-0.394799051711107	-0.39282911602343	351	-49	711	48	"M4B"	0.67156861334147	0	1.26313288513906	1.27126067444509	0.957281352564629	1.58929012846733	1.63559366805007	1.59240007430699	1.61756825031531	1.35811954469877	1.81657890058491	1.89298908888152	0.791045911502792	0.059269732861411	0.121564683954104	NA	0.845780450039888	1.536	4.678	26.019	1.51	NA
"Eragrostis curvula"	"Neotropical"	908	34	NA	0.2576	0.7424	0.03573	219.4138	201	3881	56.521	1.442	201	0.474	1.4	0.006	86	0.16	-0.539490428764487	-0.140464685856058	-0.694624929633272	-0.777299830264723	-0.953245184355206	-0.516238289494653	351	-49	711	48	"M5B"	0.502096642786378	0	1.84436262627378	1.79692472257091	1.44133500251283	2.31622831179791	2.52944646936879	1.6646584749376	1.70105749111717	0.994306207208243	2.31523218313636	2.4983660395393	0	0.00900551432147218	0.536471347655072	NA	0.675499122255746	1.055	4.821	36.469	17.997	NA
"Eragrostis curvula"	"Palearctic_West"	903	81	NA	0.22197	0.77803	0.06594	82.8871	80	3927	18.399	0.479	80	0.212	2.533	0.031	153	0.502	-0.535001092360533	-0.136083349327265	-0.0995116520504396	-0.791455267013225	-0.000569020419781565	-0.622149583325281	280	86	595	55	"M5A"	0.762566030471509	0	1.1069495242238	1.13060504645684	0.754716206768493	1.44749229812024	1.55349938497777	0.93689041016015	0.89254198907552	0.884137182943791	1.00738300581036	1.03609325999407	0.0981611967186258	0	0.266147499786086	NA	0.174102662314133	5.054	1.472	9.363	9.363	NA
"Eragrostis curvula"	"Sino-Japanese"	902	33	NA	0.36634	0.63366	0.91593	49.45942	69	3881	18.119	0.465	69	0.163	35.666	0.721	349	2.424	-0.537629684023088	-0.144536369843025	-0.802170422526726	-1.54369706944017	-0.760154903798912	-0.45537466272853	356	50	304	30	"M2A"	0.980131221690821	0	1.61884361360163	1.64139956517559	1.2011027437308	2.00127137641561	2.12829829594912	NA	NA	NA	NA	NA	0	0	0.900280737591619	NA	0.0237366474908595	4.613	NA	25.423	0	NA
"Eragrostis echinochloidea"	"Nearctic"	178	14	NA	0.10559	0.89441	0.24683	36.95185	23	4104	3.902	0.13	23	0.114	7.382	0.2	117	1.093	-0.950909775928636	0.721436155496492	-0.91698653318279	0.395101525503788	-0.677823745731502	0.372939505582946	347	54	351	77	"M5B"	0.908132631217817	0	0.660104422771441	0.663128830041984	0.576335401463363	0.73551307742356	0.769051411066304	1.4614563746773	1.85295359490959	0.661775786664359	2.04110432195153	2.17350757180406	0	0.863160623040699	0.647711701963119	NA	0.202253796673619	3.557	4.595	9.106	4.209	NA
"Eremopyrum triticeum"	"Nearctic"	17	44	NA	0.02106	0.97894	0.3896	45.53217	13	3938	0.959	0.006	13	0.035	64.467	1.416	213	1.275	0.216511518637349	-0.464529858719294	0.0809042311223315	-0.261707156952974	0.480519765808603	-0.452106578523662	286	8	237	16	"M2A"	0.996012516678075	0	1.75709935558782	1.79786225075042	1.58793571283687	1.8769577397903	1.89443171795873	NA	NA	NA	NA	NA	1	0.897111517354414	0	NA	0.00493610747117856	2.64	NA	125.644	0	NA
"Erigeron speciosus"	"Palearctic_West"	254	18	NA	0.10308	0.89692	0.64572	22.58665	14	3949	2.328	0.029	14	0.039	51.536	2.282	296	4	0.43575577737446	-0.609696531740351	0.47928306565479	-1.15423792423361	0.507492625702026	-0.733771833841484	269	-84	526	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Erodium cicutarium"	"Afrotropical"	3051	81	NA	0.00804	0.99196	0.61704	33.98538	11	3648	0.273	0.008	11	0.017	21.583	0.635	503	3.048	0.118171695333497	-0.992316482740602	-0.308859319155882	-0.205831217402245	-1.38729479219894	0.604423524386568	290	-97	969	23	"M2A"	0.999334942177488	0	2.13998051261973	2.11860429191128	1.95543264264467	2.27044269228645	2.39053344230809	NA	NA	NA	NA	NA	0	0	1	NA	0.000879430541057546	4.491	NA	226.999	0	NA
"Erodium cicutarium"	"Australian"	3068	730	NA	0.00057	0.99943	0.1128	22.67345	4	3663	0.013	0	4	0.006	3.953	0.174	348	1.168	0.118373872987128	-1.01151562276941	-0.359736072164885	-0.60242981476767	-0.809525595487787	-0.101258755563127	265	8	725	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Erodium cicutarium"	"Nearctic"	3395	842	NA	0.00685	0.99315	0.0219	102.7245	53	3462	0.703	0.018	53	0.063	0.85	0.008	293	0.486	0.173429162813651	-1.00171254817547	-0.441410760584665	-0.125306528311656	0.368721709272138	-0.54937724532292	239	21	766	22	"M2B"	0.877745053523956	0	2.59249998159426	2.77897480160725	1.84527988214123	2.94455048287006	3.01260127022092	NA	NA	NA	NA	NA	0.749801745824987	0.923499862543378	0.147091126187724	NA	0.521676064437521	2.806	NA	227	0	NA
"Erodium cicutarium"	"Neotropical"	3387	84	NA	0.17511	0.82489	0.01427	277.91811	282	3493	48.666	1.279	282	0.347	0.543	0.002	202	0.226	0.177884900451561	-1.00859576783016	-0.122652520683826	-0.00683219465894171	-0.674617048734529	-0.530689183116803	238	-26	945	29	"M2C"	0.879095526138386	0	2.23202669309013	2.22745611783376	1.76424151879714	2.68199207053398	2.85014192509802	NA	NA	NA	NA	NA	0.327816519900312	0.00514110679109043	0.0238700247819906	NA	0.665693860292673	1.159	NA	8.958	0	NA
"Erodium cicutarium"	"Panamanian"	1833	8	NA	0.09961	0.90039	0.10595	211.83482	63	3830	21.101	0.608	63	0.133	3.677	0.017	166	0.446	0.0597886314170622	-1.14514152703672	-0.533336915053479	-0.571165732567478	-1.20159888813689	-0.562720555373728	255	14	887	19	"M2B"	0.725644019899481	0	1.59637521252933	1.61778807892862	1.55682280404501	1.62736247445393	1.62975607333525	NA	NA	NA	NA	NA	0.338757430869259	0.00343856795893105	0.0294184211301817	NA	0.388557485390408	0.108	NA	227	0	NA
