"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_cold"	"proportion_dry"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Cerastium arvense"	"Australian"	1911	11	0.438	0	1	0.22166	27.01289	0	2826	0	0	0	0	4.357	0.161	201	3.295	-0.0334496970095584	0.314446045363364	-0.0204233466119017	0.582196910628928	-0.52436194968355	-0.120946456604808	257	-83	900	"M2A"	0.971590964495909	0	0.937359303396206	0.90679013678165	0.523077856848091	1.35687467789897	1.9572569962072	NA	NA	NA	NA	NA	0	0	0.0182573429336878	0.970121244445842	0	0.053820845960972	0.911	NA	17.862	0	NA
"Cerastium arvense"	"Neotropical"	2294	49	0.494	0.01868	0.98132	0.03946	113.37555	19	2586	2.118	0.077	19	0.038	1.092	0.01	201	0.628	0.0741625067977916	0.302736038781911	0.209353651476766	0.171130970072802	-0.0497825272620458	0.0188277603093767	223	-22	739	"M5B"	0.531941931364657	0	0.943941535361936	0.969109637145086	0.414481617322033	1.41547821205458	1.62560946900445	0.879769551016937	0.907162572897161	0.409648851646323	1.29464508970524	1.80110381312078	0.069867710300805	0.0724553429776451	0.40887303082602	0.391485899772556	0.114039643314	0.748292599903569	1.718	6.283	8.595	0.973	NA
"Cerastium arvense"	"Palearctic_West"	2283	763	0.244	0.00376	0.99624	0.52612	15.32451	9	2625	0.058	0.002	9	0.019	13.848	0.904	334	2.42	0.0854718088637154	0.29016590516297	0.499184776450977	0.309260761079652	0.432294755315189	0.118327081400509	211	7	680	"M2A"	0.76093775165801	0	0.878357838011166	0.884945439965769	0.390178700883478	1.30866150010868	2.2458452426901	NA	NA	NA	NA	NA	0.0413434785777904	0.0722563946133859	0.506849911624414	0.407938612290427	0.0205277505797236	0.399703689057338	1.468	NA	2.463	0	NA
"Cerastium fontanum"	"Australian"	1863	78	0.298	0.20471	0.79529	0.00959	126.56813	153	2809	25.909	0.701	153	0.548	0.355	0.003	23	0.056	0.0316717272885936	0.487219708285786	-0.420420114301569	0.999223004514162	-0.436949843293428	0.0690991587227258	225	-42	895	"M5A"	0.755822970932392	0	0.552980089840317	0.548928442427556	0.254385783145406	0.843908486102421	0.945570177199817	1.38425484892545	1.22887894839655	0.526896651765401	2.4664944987848	3.09262277242016	0.00681395362687935	0.0117430383718843	0.420629939116267	0.416477676926767	0.108888635233478	0.423628292491857	5.975	1.339	5.604	5.604	NA
"Cerastium fontanum"	"Nearctic"	3026	230	0.491	0.14882	0.85118	0.01415	137.85395	234	2615	20.515	0.326	234	0.495	0.891	0.006	49	0.074	0.299217601769893	0.560072752096217	-0.106000508206427	0.313350665634052	0.522694060928166	0.234074648325494	189	-31	784	"M5B"	0.792919329537992	0	1.40455089792946	1.32117805562212	0.587464993168694	2.44562078190131	2.98891974070629	1.51988272897159	1.43691066077722	0.658891162682237	2.55597465816807	2.98891974070629	0.160205322585902	0.314190858263998	0.813931307475731	0.0228259410756487	0.0101675083671787	0.512663480678411	2.676	1.89	2.276	31.494	NA
"Cerastium fontanum"	"Neotropical"	3026	10	0.388	0	1	0.49797	85.09192	0	2615	0	0	0	0	31.367	0.369	344	2.667	0.299217601769893	0.560072752096217	0.255955226235694	0.930557513454772	-0.0155284834459114	0.228036045384061	189	-31	784	"M2A"	0.894398863110845	0	0.908323177927071	0.937367207257085	0.429755048547148	1.33961411351892	1.52605917585677	NA	NA	NA	NA	NA	0	0.003976188684989	0.503246732700735	0.381123040721721	0	0.179884637472283	1.406	NA	5.044	0	NA
"Cerastium fontanum"	"Oriental"	2647	6	0	1	0	1	33.31794	38	2802	33.318	0.654	38	0.133	50.962	1.53	286	7.526	0.309558626561607	0.408862507721538	-1.89536419275279	2.82792661137295	-0.441682767393233	0.521599100433626	249	-169	917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cerastium fontanum"	"Panamanian"	1290	6	0	0.9986	0.0014	0.98796	242.89766	398	2813	242.558	6.001	398	1.447	39.932	0.164	274	0.687	-0.039137354385906	0.724379300497472	-1.73763326410156	2.82419861591434	-0.534118738450578	0.580522263281835	197	19	966	"M2A"	1	0	0.44472815521369	0.44472815521369	0.44472815521369	0.44472815521369	0.44472815521369	NA	NA	NA	NA	NA	0	0	0	1	0	0	0.435	NA	227	0	NA
"Cerastium fontanum"	"Sino-Japanese"	2871	47	0.165	0.50015	0.49985	0.86718	81.7107	100	2718	40.867	0.711	100	0.27	49.855	0.61	278	1.448	0.304672676227135	0.484721989223152	-0.848761295461187	1.03371271015421	0.203854695160722	0.28856749552492	183	-6	701	"M2A"	0.950816660686197	0	1.05445371792735	1.0488450890948	0.613075037231885	1.52254652063707	1.91971779362439	NA	NA	NA	NA	NA	0.0344291285328833	0.234441722272886	0.976239617697051	0	0	0.0966758437460449	2.192	NA	10.437	0	NA
"Ceratocephala testiculata"	"Nearctic"	22	43	0.25	0	1	0.71118	22.65746	0	2831	0	0	0	0	87.609	3.867	210	4.468	-0.0423993959360118	-0.381370243949264	0.105375859454361	-0.625190928063321	0.118522842200979	-0.245594683253264	282	-49	465	"M5B"	0.736853294186231	0	0.355170773795878	0.35914389128972	0.187642886160744	0.508243058767138	0.603822769818232	0.558471878957129	0.579727491925179	0.237561649588948	0.853328533227458	0.96089112713193	0.348877671953933	0	0.0116427979413141	0.105259533722418	0.479936788105878	0.334081084562558	5.642	4.468	2.103	12.079	NA
