"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Mentha aquatica"	"Nearctic"	2706	50	0.309	0.09761	0.90239	0.11172	73.12287	39	2753	7.137	0.241	39	0.116	3.311	0.045	147	0.648	-0.0594115749758098	0.33414448014676	-0.447726536952126	-0.0280487244037634	-0.144476740461748	0.104563674851477	222	13	772	"M5B"	0.348703202232802	4.67707861923298e-305	1.14981171683769	1.16004535777647	1.05291131796816	1.23852520295618	1.26294669013394	1.36516246683698	1.38777773647716	1.05976825341225	1.67278276567384	1.75104301451145	0.361598246241291	0	0.484116399735618	0.218736731498153	1.965	4.391	227	40.647	NA
"Mentha aquatica"	"Neotropical"	2705	12	0.211	0.44686	0.55314	0.0261	284.37782	370	2756	127.076	4.294	370	1.114	0.772	0.003	60	0.093	-0.0592698938955053	0.334552405700728	-0.578358797147585	0.114606614122434	-0.53449016341547	0.0184613296680255	237	-27	834	"M5B"	0.364448497558864	0	1.24978201082332	1.26113077036419	0.983891033937859	1.50600339846983	1.58801350802458	1.68214784874175	1.70919056667907	1.36842659675012	1.95122652841716	2.05947290679429	0.09927986710955	0.112296012738282	0.146719978703747	0.752189859239854	5.023	0.632	16.829	0.719	NA
"Mentha aquatica"	"Panamanian"	2080	11	0.019	0.85654	0.14346	0.90141	253.01524	415	2810	216.717	8.024	415	1.493	24.347	0.096	194	0.389	-0.127321964549814	0.403478808874082	-1.70186947285922	0.739930568590085	-0.756657890414501	0.378189559246201	228	5	857	"M5A"	0.692082488416488	0	1.2715575174824	1.30350598637439	0.803999838173718	1.68617921506641	1.83502646128157	1.70734668940485	1.74304137781951	0.873954673460004	2.49442410868919	2.93680059399325	0.599094536655166	0.533117669374533	0.425822097767566	0.220690598236787	3.807	2.295	9.013	9.013	NA
"Mentha pulegium"	"Australian"	1245	179	0.509	0.01121	0.98879	0.07606	54.19829	13	2844	0.607	0.017	13	0.053	2.759	0.051	74	0.404	-0.292279371745468	0.0320189528377473	-0.538290817641233	0.02732997704544	-0.695228543549413	-0.604199541847439	309	-109	914	"M2B"	0.977308768073403	0	1.88023381416518	1.84840099517185	1.74117323891858	2.08246531276441	2.17488528970385	NA	NA	NA	NA	NA	0	0	0.989842015238379	0.538646587518491	1.684	NA	227	0	NA
"Mentha pulegium"	"Nearctic"	1247	100	0.389	0.13404	0.86596	0.08954	108.76482	88	2840	14.579	0.402	88	0.355	3.248	0.03	49	0.171	-0.291338264405709	0.0320955007063687	-0.665430406225776	0.0425342050188604	-0.262538386214929	-0.0850955917602553	309	-109	914	"M5B"	0.902318082447608	0	1.13487572125426	1.12186280353027	1.00639699896843	1.27730190202824	1.4582499859154	1.47716107380897	1.50058597422521	1.13817393092154	1.75937429827035	1.88408994232984	0.0484246135642303	0.0352939063761116	0.939733323612851	0.505908646285747	3	2.019	3.005	21.809	NA
"Mentha pulegium"	"Neotropical"	1247	52	0.281	0.48832	0.51168	0.00165	154.29152	334	2840	75.344	2.077	334	1.347	0.06	0	10	0.017	-0.291338264405709	0.0320955007063687	-1.08764234267821	0.432506763743153	-0.624357511385	-0.213021018929401	309	-109	914	"M5B"	0.872888804166823	0	2.02155875847623	1.92052330682552	1.20090040827191	3.01499526128882	3.47103095620119	1.92443249098687	1.89638873406675	0.913392863478157	3.06294159375605	3.47103095620119	0.0559458527524708	0.164895905980927	0.885554182757822	0.198995416405534	1.948	2.892	9.285	1.87	NA
"Mentha spicata"	"Afrotropical"	153	129	0.397	0.08755	0.91245	0.26658	37.50217	20	2873	3.283	0.065	20	0.093	13.447	0.359	97	0.703	-0.309834539296132	0.100129158362646	-0.355755183455598	-0.264725883862769	-0.756431245822391	-0.457243045025416	304	-99	944	"M2A"	0.975976700946414	0	0.809172287842324	0.8175246374623	0.684178149237165	0.918829827859986	0.946062534276753	NA	NA	NA	NA	NA	0	0	0	0.0409354548288147	5.49	NA	21.073	0	NA
"Mentha spicata"	"Australian"	153	104	0.395	0.17526	0.82474	0.01778	82.62688	159	2882	14.482	0.287	159	0.772	0.896	0.011	13	0.037	-0.304638954577045	0.117652503701551	-0.512730323339846	0.276384057725437	-0.698269165155812	-0.693929687371952	307	-111	975	"M2A"	0.958057499911857	0	2.02375794855878	2.1246191046694	1.23057490711142	2.67796421278648	2.94090814070379	NA	NA	NA	NA	NA	0	0.00495522295990541	0.835662283999571	0.127254698695734	1.663	NA	12.189	0	NA
"Mentha spicata"	"Nearctic"	167	268	0.513	0.17904	0.82096	0.04039	125.27788	207	2824	22.43	0.374	207	0.784	2.423	0.019	31	0.07	-0.249135500220253	0.148132308733143	-0.463794333087792	-0.173523449692607	-0.140341276839707	-0.0182582332732808	282	-66	888	"M5B"	0.367782420468842	0	1.39609981607898	1.38422417167543	0.940392647944291	1.86768744827451	2.09341346597606	1.35510644060508	1.34501131321171	1.11846607003593	1.58516257927379	1.74499717922415	0.227542576870739	0.139860154606051	0.538369134388605	0.622959947087516	4.528	2.138	8.881	6.324	NA
"Mentha spicata"	"Neotropical"	167	41	0.369	0.44322	0.55678	0.03126	168.54151	205	2824	74.701	1.245	205	0.777	1.875	0.011	26	0.059	-0.249135500220253	0.148132308733143	-0.750883040445444	0.150844079879504	-0.450481006979722	-0.180471466255858	282	-66	888	"M5B"	0.413265458986557	0	1.08604216291421	1.08776052236383	0.810309305579018	1.30821100124769	1.3437032650229	1.45523067945818	1.48334369059918	1.09675799444874	1.764961979323	1.94188477465838	0.125929252032123	0.0858704487417984	0.650361178359481	0.468886851961201	4.546	1.825	5.972	7.431	NA
