"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Dipsacus laciniatus"	"Nearctic"	161	46	NA	0.50673	0.49327	0.74265	20.38991	56	2522	10.332	0.495	56	0.441	15.492	0.76	88	0.926	-0.0295326495361126	-0.41191265820547	-0.640535909813975	-0.0618179219465933	0.0824268299699566	-0.325126660633983	241	907	"M2A"	0.963310517154841	0	1.06159284211508	1.04452345369828	0.882841132583735	1.27320256954982	1.34223125654412	NA	NA	NA	NA	NA	0.940003148350386	0.0822843988865996	0.140924884519364	2.782	NA	13.893	0	NA
"Dipsacus laciniatus"	"Palearctic_West"	161	11	NA	0.01408	0.98592	0.54624	12.16322	2	2522	0.171	0.008	2	0.016	11.395	0.937	87	2.071	-0.0295326495361126	-0.41191265820547	0.247472376902634	-0.59037176083904	0.119765603943304	-0.330021725289317	241	907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dracocephalum parviflorum"	"Palearctic_West"	200	36	NA	0.0402	0.9598	0.54346	21.06004	29	2361	0.847	0.017	29	0.101	27.507	1.306	205	1.83	0.0828210635108446	-0.0390807624397331	0.278596713451836	-0.622038205808648	0.144906741297958	-0.256190474641394	258	677	"M2A"	0.995718646488362	0	2.07075030124323	2.57235049089226	0.891952607910682	2.82182604367908	2.91827757862082	NA	NA	NA	NA	NA	0	0.989891860765369	0.109777190433928	4.187	NA	117.05	0	NA
"Duchesnea indica"	"Afrotropical"	185	18	NA	0	1	0.75357	24.44321	0	2093	0	0	0	0	75.478	3.088	481	6.413	-1.00668192142537	-0.611743178766272	-0.272206388583424	-0.365651432235255	-0.921188201081704	0.281000437352629	293	1472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Duchesnea indica"	"Australian"	183	7	NA	0.02656	0.97344	0.53477	79.709	8	2071	2.117	0.021	8	0.014	54.129	0.679	419	2.509	-1.00281759297638	-0.620800854818048	-0.390914160192312	-0.469086895803239	-0.632466455130251	0.594613655646316	292	1475	"M2A"	0.974855684257581	0	0.532701311826664	0.519916070262951	0.451962334539587	0.61720601545519	0.636441105606109	NA	NA	NA	NA	NA	0	0	0.0303527256673739	0.299	NA	20.145	0	NA
"Duchesnea indica"	"Nearctic"	199	81	NA	0.00091	0.99909	0.2714	65.56612	1	1901	0.06	0	1	0.001	32.958	0.503	508	2.108	-1.00176638899473	-0.690695485672362	-0.884162660885786	-0.315369267555262	-0.0569198523756739	-0.244062830886324	287	1506	"M2A"	1	0	1.20740674788323	1.20740674788323	1.20740674788323	1.20740674788323	1.20740674788323	NA	NA	NA	NA	NA	1	0	0	1.767	NA	226.999	0	NA
"Duchesnea indica"	"Neotropical"	205	30	NA	0.04187	0.95813	0.19148	175.39184	37	1909	7.344	0.057	37	0.05	24.872	0.142	351	0.824	-1.04926290815362	-0.745707517677381	-0.58941787010622	-0.777591788058639	-1.30923237509132	-0.658643975713385	286	1555	"M2A"	0.970479490037706	0	1.65004323604945	1.58555722952067	1.35688871391834	2.01905772857879	2.30180498820597	NA	NA	NA	NA	NA	0	0	0.0323866081424569	5.265	NA	17.199	0	NA
"Duchesnea indica"	"Palearctic_West"	151	394	NA	7e-05	0.99993	0.50145	18.2267	4	2129	0.001	0	4	0.008	58.578	3.214	312	1.472	-0.775231878847559	-0.57273512570033	0.00489676357839084	-0.509857289230656	0.137828977478924	-0.329584379370147	280	1343	"M2B"	0.866720527821826	0	1.00868360334593	1.00868360334593	0.951401984178947	1.06596522251292	1.08028562730467	NA	NA	NA	NA	NA	0.889443928474655	0	0.335213974193519	1.813	NA	226.999	0	NA
"Echinochloa colona"	"Afrotropical"	454	23	NA	0.00335	0.99665	0.70106	38.63797	2	1904	0.129	0.001	2	0.003	76.61	1.983	626	5.174	-0.770045056640904	0.294517809642534	-1.07447275360008	0.758821423223628	-0.875070071409584	0.395832787693322	337	925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Echinochloa colona"	"Australian"	407	624	NA	0.00475	0.99525	0.0346	75.45148	52	2126	0.359	0.004	52	0.099	2.884	0.038	108	0.231	-0.691335389882809	0.301359226367563	-0.8464111009148	0.352853072107166	-0.563291129885436	0.719305857471775	332	881	"M2A"	0.997563817148901	0	3.99371797918849	4.25973044080815	2.96521401192437	4.64281803667021	4.7350304052043	NA	NA	NA	NA	NA	0	0.996451225558108	0.0924936503071377	4.04	NA	205.483	0	NA
