"species_name","region","kept_natur","thrown_natur","kept_native","thrown_native"
"Casuarina cunninghamiana","Neotropical","10","0","411","0"
"Casuarina equisetifolia","Oceanian","7","0","108","53"
"Casuarina equisetifolia","Nearctic","41","0","148","13"
"Casuarina equisetifolia","Panamanian","42","0","156","5"
"Casuarina equisetifolia","Afrotropical","25","0","157","4"
"Casuarina equisetifolia","Palearctic_West","17","0","32","129"
"Casuarina equisetifolia","Oriental","12","0","161","0"
"Casuarina equisetifolia","Neotropical","36","0","159","2"
"Cedrela odorata","Afrotropical","7","0","522","33"
"Cedrela odorata","Nearctic","5","0","480","75"
"Celastrus orbiculatus","Nearctic","140","0","133","2"
"Celastrus orbiculatus","Palearctic_West","17","0","113","22"
"Celastrus orbiculatus","Australian","13","0","119","16"
"Celastrus orbiculatus","Palearctic_East","7","0","78","57"
"Cenchrus longispinus","Australian","105","0","317","97"
"Cenchrus longispinus","Palearctic_West","6","0","410","4"
"Centaurea calcitrapa","Australian","234","0","826","1"
"Centaurea calcitrapa","Nearctic","54","0","827","0"
"Centaurea calcitrapa","Neotropical","22","1","826","1"
"Centaurea calcitrapa","Palearctic_West","111","0","827","0"
"Centaurea calcitrapa","Afrotropical","7","0","825","2"
"Centaurea cyanus","Australian","15","0","1348","272"
"Centaurea cyanus","Nearctic","199","1","1620","0"
"Centaurea cyanus","Palearctic_West","810","0","1620","0"
"Centaurea cyanus","Neotropical","7","0","1620","0"
"Centaurea diffusa","Palearctic_West","112","0","18","0"
"Centaurea diffusa","Nearctic","128","2","18","0"
"Centaurea jacea","Nearctic","51","0","2636","0"
"Centaurea jacea","Palearctic_West","33","0","2636","0"
"Centaurea jacea","Australian","5","0","2245","391"
"Centaurea jacea","Neotropical","8","0","2631","5"
"Centaurea melitensis","Nearctic","326","0","453","0"
"Centaurea melitensis","Australian","794","0","453","0"
"Centaurea melitensis","Neotropical","51","1","453","0"
"Centaurea melitensis","Afrotropical","29","0","453","0"
"Centaurea melitensis","Palearctic_West","53","0","453","0"
"Centaurea solstitialis","Nearctic","201","2","381","0"
"Centaurea solstitialis","Palearctic_West","405","0","381","0"
"Centaurea solstitialis","Australian","143","0","379","2"
"Centaurea solstitialis","Neotropical","20","0","377","4"
"Cerastium arvense","Palearctic_West","763","0","2283","18"
"Cerastium arvense","Neotropical","49","0","2294","7"
"Cerastium arvense","Australian","11","0","1911","390"
"Cerastium fontanum","Oriental","6","0","2647","379"
"Cerastium fontanum","Australian","78","4","1863","1163"
"Cerastium fontanum","Nearctic","230","1","3026","0"
"Cerastium fontanum","Sino-Japanese","47","0","2871","155"
"Cerastium fontanum","Panamanian","6","0","1290","1736"
"Cerastium fontanum","Neotropical","10","0","3026","0"
"Ceratocephala testiculata","Nearctic","43","0","22","0"
"Ceratocephala testiculata","Palearctic_West","5","0","22","0"
"Cereus hildmannianus","Nearctic","8","0","25","0"
"Chamaecyparis lawsoniana","Palearctic_West","589","0","57","9"
"Chamaecyparis lawsoniana","Australian","17","0","63","3"
"Chelidonium majus","Nearctic","126","0","2714","0"
"Chelidonium majus","Australian","5","0","2534","180"
